Summary,Issue Type,Status,Project key,Description, issue link (Relates)
QAE-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-143
QAE-CR-1 Style Issues,Improvement,To Do,WINDEV,Total issues: 0,WINDEV-143
QAE-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-143
QAE-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 11   

Discussion comment: 1   
Global: consider adding more macros. 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=a34694b2-4971-4527-b826-2b389c2acff2&filePath=/fsw/src/qae_app.cpp   

Discussion comment: 2   
Rule 6-6-5 States that a function shall have a single point of exit at the end of the function. 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=a2c553dd-8464-4cf8-bd5b-a8b2e352f680&filePath=/fsw/src/qae_app.cpp   

Discussion comment: 3   
Update to direct use of the table. 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=af75a967-c5c3-45b3-97d8-177ceb9ce1d2&filePath=/fsw/src/qae_app.cpp   

Discussion comment: 4   
Add license boilerplate. 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=eff18993-b34b-4608-b2d2-700e0bc4fbb8&filePath=/fsw/for_build/CMakeLists.txt   

Discussion comment: 5   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code. 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=a3c6cd6e-6548-49f7-8cb7-efc76b0a1618&filePath=/fsw/src/qae_app.cpp   

Discussion comment: 6   
Break is required, in case a future modification turns this into a case Refer: Rule 6-4-3, A switch statement shall be a well-formed switch statement. 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=190a8575-f7af-427a-b75a-115a6c11c84b&filePath=/fsw/src/qae_app.cpp   

Discussion comment: 7   
May want to change the 1 to true, Rule 5𢠣3 states ""The condition of an if-statement and the condition of an iteration-statement shall have type boolean."" 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=96a08691-ff0c-43e9-9487-f54e66832261&filePath=/fsw/src/qae_app.cpp   

Discussion comment: 8   
Global: Remove commented out code. 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=b2af481c-18a4-4bf6-9083-dfe54685e9b7&filePath=/fsw/src/qae_app.cpp   

Discussion comment: 9   
Global: Such params are in/out 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=76c755f3-364c-411b-9fb1-429c18d6f949&filePath=/fsw/src/qae_app.hpp   

Discussion comment: 10   
An else-if should be followed by else. 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=55390f57-dbcf-4323-b7f2-5cac3738d5b6&filePath=/fsw/src/qae_config_utils.cpp   

Discussion comment: 11   
Assign numerical values to all items in this enumeration. 
http://18.188.47.171:8080/qae/review/QAE-CR-1?commentId=3f4b92a7-c65e-4018-bd97-290b7475a92d&filePath=/fsw/src/qae_events.h   
",WINDEV-143
RCN-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-144
RCN-CR-1 Style Issues,Improvement,To Do,WINDEV,"Total issues: 1   

Discussion comment: 1   
verify spacing 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=2f502e09-e0d0-4c6a-94d1-cdd98eebf491&filePath=/fsw/src/rcin_app.h   
",WINDEV-144
RCN-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-144
RCN-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 17   

Discussion comment: 1   
Add a critical callback function and call this function on normal application exit. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=d0f49a00-3792-4e14-a0bc-2396e1dd72cc&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 2   
Consider moving more of your configuration into tables.  If you have no parameters to put here, remove the notion of tables entirely from the application. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=c2813acb-4cbe-4b3a-91c6-9a3f3b8bcc99&filePath=/fsw/src/rcin_tbldefs.h   

Discussion comment: 3   
Global comment.  These ""out"" arguments are probably ""in/out"" arguments.  Update this. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=6548cced-2d17-4679-91ea-205606ada159&filePath=/fsw/src/rcin_custom.h   

Discussion comment: 4   
Replace hard coded return codes like -1 with application specific enumerations. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=06f10cee-419e-4315-9042-d9a5e201914c&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 5   
Remove all CFE calls from this function.  This function is executed in the context of CFE ES, after the application has terminated. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=9d22b3d0-8053-4d21-97c7-5c7d3a26cf66&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 6   
Global comment.  Replace all hard coded values, i.e. 255, 0, and 10, with macros or constants. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=727bdb9b-e139-4c28-aa19-1d0625ead3c8&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 7   
Don't use statics in functions.  Due to an issue with linux, these do not automatically get zero'd out when the application is reloaded. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=391ef877-acec-4b5c-987b-647f72ab0caa&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 8   
Validate your commands. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=cce8484a-613b-4895-91bd-d1a640ea68f8&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 9   
Is this all the events in the platform independent code?  If not, add the rest.  Also consider making the masks mission or platform configurable. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=257a065c-23c2-45b8-9645-232c49661a35&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 10   
Global comment.  Remove all TODOs. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=2ad3a703-b5b5-4c66-ac73-1ed6d7a36ab2&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 11   
Global comment.  Replace all files in mission_inc, platform_inc, and tables with actual files from sitl.  Make sure all the doxy is complete.  However, perf ids and message ids should be fully defined here and not just included a common file.  In other words, copy in the perf ids and the message ids from the common files. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=a394684b-2620-4cb4-ae3f-e0a252feb79f&filePath=/fsw/mission_inc/rcin_mission_cfg.h   

Discussion comment: 12   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=4e636285-c391-490d-99d5-3f867951dbd6&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 13   
May want to change the 1 to true, Rule 5𢠣3 states ""The condition of an if-statement and the condition of an iteration-statement shall have type boolean."" 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=4ed01357-1085-46e5-ac3b-da2c776c5241&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 14   
Rule 6-4-3 states that a switch statement shall be well formed. A break statement may be required at the end of default case. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=ceecd24c-92de-439a-b1a9-5047addd91f4&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 15   
Remove todo 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=ffbbf080-c2be-40b0-ae3e-4d50da784c87&filePath=/fsw/src/rcin_app.h   

Discussion comment: 16   
Remove line for consistency 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=39237192-2fba-4337-ab91-ee8d5df4b828&filePath=/fsw/src/rcin_app.cpp   

Discussion comment: 17   
All enumerations shall also have corresponding numeric values assigned to them. 
http://18.188.47.171:8080/rcin/review/RCN-CR-1?commentId=3d564066-650a-4e25-ade2-369806bbd0a9&filePath=/fsw/src/rcin_events.h   
",WINDEV-144
RGBLD-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-145
RGBLD-CR-1 Style Issues,Improvement,To Do,WINDEV,Total issues: 0,WINDEV-145
RGBLD-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-145
RGBLD-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 9   

Discussion comment: 1   
Add a critical cleanup callback and call this function during normal application exit. 
http://18.188.47.171:8080/rgbled/review/RGBLD-CR-1?commentId=478f2873-cf5d-4714-87f8-7f5c322fadc0&filePath=/fsw/src/rgbled_app.cpp   

Discussion comment: 2   
Global comments.  Copy in mission and platform includes from a working sitl build.  Ensure all message IDs and perf IDs are defined in them, rather than in a common header.  Updated all doxy. 
http://18.188.47.171:8080/rgbled/review/RGBLD-CR-1?commentId=ca859efb-9245-4982-b16a-2d41281fb0ab&filePath=/fsw/src/rgbled_app.h   

Discussion comment: 3   
Ensure no CFE functions are called here. 
http://18.188.47.171:8080/rgbled/review/RGBLD-CR-1?commentId=09a988f5-b677-461d-a74a-31793267692d&filePath=/fsw/src/rgbled_app.cpp   

Discussion comment: 4   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code. 
http://18.188.47.171:8080/rgbled/review/RGBLD-CR-1?commentId=1ae07edf-cb52-48f0-90f1-9d65e354e5b8&filePath=/fsw/src/rgbled_app.cpp   

Discussion comment: 5   
May want to change the 1 to true, Rule 5𢠣3 states ""The condition of an if-statement and the condition of an iteration-statement shall have type boolean."" 
http://18.188.47.171:8080/rgbled/review/RGBLD-CR-1?commentId=7a52694e-c37e-4533-8600-23d3a5e31618&filePath=/fsw/src/rgbled_app.cpp   

Discussion comment: 6   
Rule 6-4-3 states that a switch statement shall be well formed. A break statement may be required at the end of default case. 
http://18.188.47.171:8080/rgbled/review/RGBLD-CR-1?commentId=14cffcc1-902f-4387-a0f4-0a993988572f&filePath=/fsw/src/rgbled_app.cpp   

Discussion comment: 7   
Inside this case construct there is a nested 'if', 2 level deep. The top level will not break when the condition fails or is false. So, consider adding a break statement here. 
http://18.188.47.171:8080/rgbled/review/RGBLD-CR-1?commentId=ad7e646a-ae2b-44bb-9e34-ca8b209e7c63&filePath=/fsw/src/rgbled_app.cpp   

Discussion comment: 8   
Global: Complete doxygen 
http://18.188.47.171:8080/rgbled/review/RGBLD-CR-1?commentId=4213345f-ea2c-4641-8b58-ed1821b78e45&filePath=/fsw/src/rgbled_events.h   

Discussion comment: 9   
All enumerations shall also have corresponding numeric values assigned to them. 
http://18.188.47.171:8080/rgbled/review/RGBLD-CR-1?commentId=f62b26cf-8280-4aaf-a940-65fb508325c9&filePath=/fsw/src/rgbled_events.h   
",WINDEV-145
SCH-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-113
SCH-CR-1 Style Issues,Improvement,To Do,WINDEV,"Total issues: 3   

Discussion comment: 1   
Case constructs are encapsulated with curly braces. 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=1b056691-6a86-45e9-b8fd-c35c6499c2ad&filePath=/fsw/src/sch_cmds.c   

Discussion comment: 2   
remove extra white space between includes 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=777672aa-f343-4eaa-ac88-f10baff1e0ef&filePath=/fsw/src/sch_custom.c   

Discussion comment: 3   
Whitespace 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=9393a716-bb9a-4238-8e5d-8a21208ba7d6&filePath=/fsw/src/sch_app.c   
",WINDEV-113
SCH-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-113
SCH-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 18   

Discussion comment: 1   
initialize variable 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=209bdba5-d86e-4136-b571-13f730251b42&filePath=/fsw/src/sch_app.c   

Discussion comment: 2   
initialize variables 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=46f44df4-ab40-4b66-9038-1a15eadf9a19&filePath=/fsw/src/sch_app.c   

Discussion comment: 3   
Our standard does not allow more than one return statement. 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=66a91d84-8c98-4c7d-bc60-c3cd461e550c&filePath=/fsw/src/sch_app.c   

Discussion comment: 4   
Case constructs should be enclosed in curly braces 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=f2651e77-83b1-4561-aa10-0e9cacbcd711&filePath=/fsw/src/sch_app.c   

Discussion comment: 5   
Global: missing (void) 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=6890b1b3-eb1d-4405-92c8-57b5117ffb17&filePath=/fsw/src/sch_app.c   

Discussion comment: 6   
Remove extra white space between includes 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=36bce184-ac41-45b8-9a64-558587e96bc0&filePath=/fsw/src/sch_app.c   

Discussion comment: 7   
Global: missing (void) 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=3ccd2297-bd6b-4997-b39c-c58e5e6048d1&filePath=/fsw/src/sch_cmds.c   

Discussion comment: 8   
avoid extra white space between include statements 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=2ba79a92-52de-46b0-96c8-48a670547c69&filePath=/fsw/src/sch_cmds.c   

Discussion comment: 9   
cannot have more than one return statements in a single function 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=61b2e8eb-0138-43b4-b205-f8abccefc537&filePath=/fsw/src/sch_custom.c   

Discussion comment: 10   
Global: initialize variables, also see lines 236  and 353 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=41c6ddff-7dd1-4a4a-ba57-ef6a457ae9bf&filePath=/fsw/src/sch_custom.c   

Discussion comment: 11   
initialize this variable 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=4300459f-bed0-4fd0-9736-3bfcb58c8479&filePath=/fsw/src/sch_custom.c   

Discussion comment: 12   
Use return with parenthesis 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=360d2e79-d392-404c-a5ad-b7319c0dabe4&filePath=/fsw/src/sch_custom.c   

Discussion comment: 13   
missing doxygen 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=4867aa07-fd43-4dff-8f99-227fa33b2cac&filePath=/fsw/src/sch_tbldefs.h   

Discussion comment: 14   
Update the entire SCH application so when RTM is not supported, no RTM specific code appears in the build.  As it is, there are still unnecessary calls that do nothing or serve no purpose and even a task that is created that serves no purpose when RTM is not supported. 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=308f511d-b833-4bf3-b242-80c9c4eee5f3&filePath=/fsw/src/sch_app.c   

Discussion comment: 15   
We may need to ifdef this entire section out for when RTM is not supported. 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=549783a5-8ba5-42c7-93c0-e296009c1270&filePath=/fsw/src/sch_app.c   

Discussion comment: 16   
Move this ifdef to the top of the function.  Consider ifdef'ing the function out entirely since it does nothing when the macro is not defined. 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=615a7f34-f793-4aa8-af6e-f3f3ae484da6&filePath=/fsw/src/sch_app.c   

Discussion comment: 17   
Move these prototypes to sch_app.h and write the doxygen to go with it. 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=424619c5-1ece-451c-b849-3854ab3d2401&filePath=/fsw/src/sch_app.c   

Discussion comment: 18   
Remove the mission_inc and platform_inc includes from the unit tests.  Test using as-built configuration, not as-designed. 
http://18.188.47.171:8080/sch/review/SCH-CR-1?commentId=5e85c827-4a0b-4610-b0f9-830471e6f0ae&filePath=/fsw/for_build/CMakeLists.txt   
",WINDEV-113
SENS-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-146
SENS-CR-1 Style Issues,Improvement,To Do,WINDEV,"Total issues: 1   

Discussion comment: 1   
Case and default constructs shall be enclosed in curly braces. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=e8e7d55b-80c1-4dfb-9ede-ea04cf36c254&filePath=/fsw/src/sens_app.cpp   
",WINDEV-146
SENS-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-146
SENS-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 27   

Discussion comment: 1   
Does this need to be ""3""? 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=69f2a81d-6083-4d21-8ffd-8977319ad588&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 2   
Initialize i at the beginning of the function 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=c72d9dd6-d83b-4cac-98ad-063f14e4b1b8&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 3   
Case statement brace style. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=f88ba069-6145-4db9-a7a2-51ebac82b298&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 4   
We should make this rate monotonic instead of event driven 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=2fd636a8-5c1c-462d-88b6-ae378753b8ad&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 5   
This is a temporary fix for configurable modes and should be rearchitected 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=c6cd8bc0-69bf-43ae-8a5a-4a2960b0b471&filePath=/fsw/src/sens_tbldefs.h   

Discussion comment: 6   
This looks like a typo 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=e3dbc018-7bda-4dbd-bfb8-9800d1db23e5&filePath=/fsw/src/sens_app.h   

Discussion comment: 7   
Use a macro for usecs conversion factor 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=905c55b1-b274-40c9-b6b0-02d7e34adf59&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 8   
Remove commented out code. Also this block of code is a temporary fix to configurable flight modes and should be re architected. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=f1fca594-c290-4005-8b81-7aeb4164739c&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 9   
Make .5f a macro 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=0d504fb9-4ddb-4d18-a182-4b78126bb88f&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 10   
Global comment: Switch bool types to CFE booleans 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=fd0abe36-14d4-4b5c-b112-68733ae3d307&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 11   
Address boilerplate todos 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=ba806dcf-317d-4607-b63a-43c16a4b282a&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 12   
Remove excess whitespace between functions 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=4107ac60-5d12-4d3b-8dba-6c6f2c791d8a&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 13   
Global : Having multiple return statements in a function does not comply with coding standards. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=905b0b67-f948-44e1-8275-b73010a3c03a&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 14   
Commented out code. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=e73be647-4169-4aac-9573-500e98f38772&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 15   
Case and default constructs shall be enclosed in curly braces. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=e8e7d55b-80c1-4dfb-9ede-ea04cf36c254&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 16   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=a80715f6-a5c5-4537-96a1-d7c05abc207a&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 17   
Rule 6-4-3 states that a switch statement shall be well formed. A break statement may be required at the end of default case. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=d3021b3f-3de1-4fec-a350-2fe2406f3c66&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 18   
Rule 6-4-3 states that a switch statement shall be well formed. A break statement may be required at the end of default case. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=1314bf26-9fe6-4ea0-bf89-c740d345cd26&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 19   
Remove commented out code 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=b21bb79c-86da-4503-8eea-bd90352bb886&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 20   
Move constructor code to app init fucntion. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=1e2a8306-880d-4ba4-aaf0-af2c5ea6dff2&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 21   
Remove extra white space between includes. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=5e4583c5-e50b-4ce9-8769-b093feb57416&filePath=/fsw/src/sens_app.cpp   

Discussion comment: 22   
Global: Doxygen missing 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=71d8f8d0-17b7-4feb-8d99-a9c9193ec8a9&filePath=/fsw/src/sens_app.h   

Discussion comment: 23   
in / out, also see line 389, 458 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=5c8b66fa-a08e-4119-819a-ee5d6b89f293&filePath=/fsw/src/sens_app.h   

Discussion comment: 24   
Consider using CFE's boolean type. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=65960c5b-c1cc-4104-8111-150437d5d57d&filePath=/fsw/src/sens_app.h   

Discussion comment: 25   
Remove commented out code 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=9c1bbfda-0727-4519-bcbf-d990a54ad377&filePath=/fsw/src/sens_app.h   

Discussion comment: 26   
Add doxygen. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=8e0f614b-5bdd-4d17-85b5-2933355f30ab&filePath=/fsw/src/sens_app.h   

Discussion comment: 27   
License boilerplate missing. 
http://18.188.47.171:8080/sens/review/SNS-CR-1?commentId=b8e32c65-ebc9-4fc4-bfe2-22c56915fd95&filePath=/fsw/tables/sens_config.c   
",WINDEV-146
TO-CR-1 Bug Issues,Bug,To Do,WINDEV,"Total issues: 1   

Discussion comment: 1   
Review the cleanup function and ensure it doesn't call any CFE functions.  The delete handler is called with a CFE ES context, not the application. 
http://18.188.47.171:8080/to/review/TO-CR-1?commentId=dc3b4773-8756-4d49-9fc6-56deb3d95f4a&filePath=/fsw/src/app.c   
",WINDEV-103
